simulation_id,csv_path,matches,included,reason
23,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_023/season_023.csv,380,True,OK
24,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_024/season_024.csv,379,True,OK
25,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_025/season_025.csv,378,True,OK
26,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_026/season_026.csv,380,True,OK
27,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_027/season_027.csv,380,True,OK
28,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_028/season_028.csv,379,True,OK
29,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_029/season_029.csv,380,True,OK
30,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_030/season_030.csv,380,True,OK
31,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_031/season_031.csv,380,True,OK
32,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_032/season_032.csv,380,True,OK
33,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_033/season_033.csv,380,True,OK
34,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_034/season_034.csv,380,True,OK
35,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_035/season_035.csv,380,True,OK
36,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_036/season_036.csv,380,True,OK
37,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_037/season_037.csv,380,True,OK
38,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_038/season_038.csv,380,True,OK
39,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_039/season_039.csv,380,True,OK
40,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_040/season_040.csv,380,True,OK
41,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_041/season_041.csv,380,True,OK
42,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_042/season_042.csv,380,True,OK
43,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_043/season_043.csv,380,True,OK
44,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_044/season_044.csv,380,True,OK
45,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_045/season_045.csv,380,True,OK
46,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_046/season_046.csv,380,True,OK
47,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_047/season_047.csv,380,True,OK
48,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_048/season_048.csv,380,True,OK
49,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_049/season_049.csv,380,True,OK
50,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_050/season_050.csv,380,True,OK
51,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_051/season_051.csv,380,True,OK
52,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_052/season_052.csv,380,True,OK
53,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_053/season_053.csv,380,True,OK
54,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_054/season_054.csv,380,True,OK
55,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_055/season_055.csv,380,True,OK
56,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_056/season_056.csv,380,True,OK
57,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_057/season_057.csv,380,True,OK
58,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_058/season_058.csv,380,True,OK
59,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_059/season_059.csv,380,True,OK
60,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_060/season_060.csv,380,True,OK
61,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_061/season_061.csv,380,True,OK
62,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_062/season_062.csv,380,True,OK
63,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_063/season_063.csv,380,True,OK
64,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_064/season_064.csv,380,True,OK
65,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_065/season_065.csv,380,True,OK
66,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_066/season_066.csv,380,True,OK
67,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_067/season_067.csv,380,True,OK
68,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_068/season_068.csv,380,True,OK
69,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_069/season_069.csv,380,True,OK
70,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_070/season_070.csv,380,True,OK
